#,Address,Source,Scoreboard Dependencies,Live Registers,Warp Stall Sampling (All Samples),Instruction Category,Instructions Executed,Avg. Predicated-On Threads Executed,Address Space,Access Operation,Access Size,L1 Wavefronts Shared Excessive,L2 Theoretical Sectors Global Excessive,Register Dependencies,Predicate Dependencies,Uniform Register Dependencies,Uniform Predicate Dependencies
,,matrixMulRegister
100,0000000b 00e72930,"      FADD R11, R12, R19",0,39,110,Floating Point,32768,32,,,,,,,,,
101,0000000b 00e72940,"      FADD R4, R16, R5",0,40,46,Floating Point,32768,32,,,,,,,,,
102,0000000b 00e72950,"      FADD R42, R11, R42",0,40,21,Floating Point,32768,32,,,,,,,,,
103,0000000b 00e72960,"      FADD R11, R5, R17",0,40,3,Floating Point,32768,32,,,,,,,,,
104,0000000b 00e72970,"      FADD R29, R4, R29",0,40,1,Floating Point,32768,32,,,,,,,,,
105,0000000b 00e72980,"      FADD R4, R5, R18",0,40,2,Floating Point,32768,32,,,,,,,,,
106,0000000b 00e72990,"      FADD R25, R16, R12",0,41,,Floating Point,32768,32,,,,,,,,,
107,0000000b 00e729a0,"      FADD R27, R12, R17",0,42,1,Floating Point,32768,32,,,,,,,,,
108,0000000b 00e729b0,"      FADD R10, R12, R18",0,43,5,Floating Point,32768,32,,,,,,,,,
109,0000000b 00e729c0,"      FADD R5, R5, R19",0,42,1,Floating Point,32768,32,,,,,,,,,
110,0000000b 00e729d0,"      FADD R40, R25, R40",0,42,1,Floating Point,32768,32,,,,,,,,,
111,0000000b 00e729e0,"      FADD R30, R27, R30",0,41,2,Floating Point,32768,32,,,,,,,,,
112,0000000b 00e729f0,"      FADD R43, R10, R43",0,40,2,Floating Point,32768,32,,,,,,,,,
113,0000000b 00e72a00,"      FADD R12, R5, R8",0,40,3,Floating Point,32768,32,,,,,,,,,
114,0000000b 00e72a10,"      FADD R10, R16, R22",0,39,20,Floating Point,32768,32,,,,,,,,,
115,0000000b 00e72a20,"      FADD R8, R22, R18",0,40,1,Floating Point,32768,32,,,,,,,,,
116,0000000b 00e72a30,"      LDS.128 R24, [R37+0x180]",0,44,2,Load/Store,32768,32,Shared,Load,128,,,,,,
117,0000000b 00e72a40,"      FADD R5, R22, R17",0,44,,Floating Point,32768,32,,,,,,,,,
118,0000000b 00e72a50,"      FADD R28, R11, R28",0,44,2,Floating Point,32768,32,,,,,,,,,
119,0000000b 00e72a60,"      FADD R4, R4, R9",0,43,5,Floating Point,32768,32,,,,,,,,,
120,0000000b 00e72a70,"      FADD R35, R10, R35",0,42,5,Floating Point,32768,32,,,,,,,,,
121,0000000b 00e72a80,"      FADD R33, R8, R33",0,41,4,Floating Point,32768,32,,,,,,,,,
122,0000000b 00e72a90,"      FADD R32, R5, R32",0,40,1,Floating Point,32768,32,,,,,,,,,
123,0000000b 00e72aa0,"      LDS.128 R8, [R0.X16+0x1100]",0,43,3,Load/Store,32768,32,Shared,Load,128,,,,,,
124,0000000b 00e72ab0,"      LDS R5, [R0.X16+0x1110]",0,43,28,Load/Store,32768,32,Shared,Load,32,,,,,,
125,0000000b 00e72ac0,"      FADD R21, R22, R19",0,44,4,Floating Point,32768,32,,,,,,,,,
126,0000000b 00e72ad0,"      FADD R34, R21, R34",0,43,55,Floating Point,32768,32,,,,,,,,,
127,0000000b 00e72ae0,"      FADD R17, R27, R17",0,42,50,Floating Point,32768,32,,,,,,,,,
128,0000000b 00e72af0,"      FADD R18, R27, R18",0,42,,Floating Point,32768,32,,,,,,,,,
129,0000000b 00e72b00,"      FADD R22, R27, R19",0,43,2,Floating Point,32768,32,,,,,,,,,
130,0000000b 00e72b10,"      FADD R44, R17, R44",0,42,7,Floating Point,32768,32,,,,,,,,,
131,0000000b 00e72b20,"      FADD R16, R16, R27",0,41,1,Floating Point,32768,32,,,,,,,,,
132,0000000b 00e72b30,"      FADD R17, R9, R13",0,41,34,Floating Point,32768,32,,,,,,,,,
133,0000000b 00e72b40,"      FADD R8, R13, R11",0,42,4,Floating Point,32768,32,,,,,,,,,
134,0000000b 00e72b50,"      FADD R19, R13, R10",0,43,,Floating Point,32768,32,,,,,,,,,
135,0000000b 00e72b60,"      FADD R27, R18, R31",0,44,3,Floating Point,32768,32,,,,,,,,,
136,0000000b 00e72b70,"      FADD R13, R5, R13",0,42,10,Floating Point,32768,32,,,,,,,,,
137,0000000b 00e72b80,"      FADD R40, R40, R17",0,42,1,Floating Point,32768,32,,,,,,,,,
138,0000000b 00e72b90,"      FADD R43, R43, R8",0,41,3,Floating Point,32768,32,,,,,,,,,
139,0000000b 00e72ba0,"      FADD R31, R11, R6",0,41,2,Floating Point,32768,32,,,,,,,,,
140,0000000b 00e72bb0,"      FADD R8, R9, R6",0,42,2,Floating Point,32768,32,,,,,,,,,
141,0000000b 00e72bc0,"      FADD R17, R10, R6",0,43,,Floating Point,32768,32,,,,,,,,,
142,0000000b 00e72bd0,"      FADD R42, R42, R13",0,43,1,Floating Point,32768,32,,,,,,,,,
143,0000000b 00e72be0,"      FADD R13, R5, R6",0,43,3,Floating Point,32768,32,,,,,,,,,
144,0000000b 00e72bf0,"      FADD R19, R30, R19",0,42,2,Floating Point,32768,32,,,,,,,,,
145,0000000b 00e72c00,"      FADD R21, R29, R8",0,42,4,Floating Point,32768,32,,,,,,,,,
146,0000000b 00e72c10,"      FADD R18, R28, R17",0,41,,Floating Point,32768,32,,,,,,,,,
147,0000000b 00e72c20,"      FADD R4, R4, R31",0,39,3,Floating Point,32768,32,,,,,,,,,
148,0000000b 00e72c30,"      FADD R41, R22, R41",0,38,2,Floating Point,32768,32,,,,,,,,,
149,0000000b 00e72c40,"      LDS.128 R28, [R37+0x190]",0,41,4,Load/Store,32768,32,Shared,Load,128,,,,,,
150,0000000b 00e72c50,"      FADD R22, R12, R13",0,42,,Floating Point,32768,32,,,,,,,,,
151,0000000b 00e72c60,"      LDS.64 R12, [R0.X16+0x1188]",0,42,55,Load/Store,32768,32,Shared,Load,64,,,,,,
152,0000000b 00e72c70,"      FADD R17, R10, R23",0,43,3,Floating Point,32768,32,,,,,,,,,
153,0000000b 00e72c80,"      FADD R45, R16, R45",0,43,3,Floating Point,32768,32,,,,,,,,,
154,0000000b 00e72c90,"      FADD R26, R32, R17",0,43,30,Floating Point,32768,32,,,,,,,,,
155,0000000b 00e72ca0,"      LDS.64 R16, [R0.X16+0x1190]",0,43,18,Load/Store,32768,32,Shared,Load,64,,,,,,
156,0000000b 00e72cb0,"      FADD R6, R11, R23",0,44,3,Floating Point,32768,32,,,,,,,,,
157,0000000b 00e72cc0,"      FADD R8, R9, R23",0,45,3,Floating Point,32768,32,,,,,,,,,
158,0000000b 00e72cd0,"      FADD R33, R33, R6",0,45,56,Floating Point,32768,32,,,,,,,,,
159,0000000b 00e72ce0,"      FADD R23, R5, R23",0,44,2,Floating Point,32768,32,,,,,,,,,
160,0000000b 00e72cf0,"      FADD R35, R35, R8",0,44,1,Floating Point,32768,32,,,,,,,,,
161,0000000b 00e72d00,"      FADD R34, R34, R23",0,43,25,Floating Point,32768,32,,,,,,,,,
162,0000000b 00e72d10,"      FADD R6, R9, R28",0,43,19,Floating Point,32768,32,,,,,,,,,
163,0000000b 00e72d20,"      FADD R9, R28, R10",0,43,5,Floating Point,32768,32,,,,,,,,,
164,0000000b 00e72d30,"      FADD R32, R28, R11",0,43,3,Floating Point,32768,32,,,,,,,,,
165,0000000b 00e72d40,"      FADD R28, R5, R28",0,42,3,Floating Point,32768,32,,,,,,,,,
166,0000000b 00e72d50,"      FADD R5, R12, R14",0,42,19,Floating Point,32768,32,,,,,,,,,
167,0000000b 00e72d60,"      FADD R45, R45, R6",0,42,4,Floating Point,32768,32,,,,,,,,,
168,0000000b 00e72d70,"      FADD R41, R41, R28",0,41,13,Floating Point,32768,32,,,,,,,,,
169,0000000b 00e72d80,"      FADD R40, R40, R5",0,40,3,Floating Point,32768,32,,,,,,,,,
170,0000000b 00e72d90,"      FADD R28, R14, R13",0,40,2,Floating Point,32768,32,,,,,,,,,
171,0000000b 00e72da0,"      FADD R6, R12, R7",0,41,,Floating Point,32768,32,,,,,,,,,
172,0000000b 00e72db0,"      FADD R5, R13, R7",0,42,2,Floating Point,32768,32,,,,,,,,,
173,0000000b 00e72dc0,"      FADD R8, R44, R9",0,43,3,Floating Point,32768,32,,,,,,,,,
174,0000000b 00e72dd0,"      FADD R28, R19, R28",0,41,,Floating Point,32768,32,,,,,,,,,
175,0000000b 00e72de0,"      FADD R19, R21, R6",0,41,2,Floating Point,32768,32,,,,,,,,,
176,0000000b 00e72df0,"      FADD R18, R18, R5",0,39,,Floating Point,32768,32,,,,,,,,,
177,0000000b 00e72e00,"      FADD R6, R16, R14",0,39,18,Floating Point,32768,32,,,,,,,,,
178,0000000b 00e72e10,"      FADD R5, R14, R17",0,40,2,Floating Point,32768,32,,,,,,,,,
179,0000000b 00e72e20,"      FADD R9, R17, R7",0,40,2,Floating Point,32768,32,,,,,,,,,
180,0000000b 00e72e30,"      FADD R23, R16, R7",0,41,2,Floating Point,32768,32,,,,,,,,,
181,0000000b 00e72e40,"      FADD R10, R12, R29",0,41,2,Floating Point,32768,32,,,,,,,,,
182,0000000b 00e72e50,"      FADD R43, R43, R6",0,41,3,Floating Point,32768,32,,,,,,,,,
183,0000000b 00e72e60,"      FADD R22, R22, R9",0,40,2,Floating Point,32768,32,,,,,,,,,
184,0000000b 00e72e70,"      FADD R42, R42, R5",0,39,3,Floating Point,32768,32,,,,,,,,,
185,0000000b 00e72e80,"      FADD R23, R4, R23",0,38,4,Floating Point,32768,32,,,,,,,,,
186,0000000b 00e72e90,"      FADD R9, R13, R29",0,38,4,Floating Point,32768,32,,,,,,,,,
187,0000000b 00e72ea0,"      FADD R11, R16, R29",0,39,2,Floating Point,32768,32,,,,,,,,,
188,0000000b 00e72eb0,"      FADD R32, R27, R32",0,39,1,Floating Point,32768,32,,,,,,,,,
189,0000000b 00e72ec0,"      LDS.128 R4, [R37+0x110]",0,42,3,Load/Store,32768,32,Shared,Load,128,,,,,,
190,0000000b 00e72ed0,"      FADD R21, R45, R10",0,43,3,Floating Point,32768,32,,,,,,,,,
191,0000000b 00e72ee0,"      FADD R14, R8, R9",0,42,1,Floating Point,32768,32,,,,,,,,,
192,0000000b 00e72ef0,"      FADD R32, R32, R11",0,40,3,Floating Point,32768,32,,,,,,,,,
193,0000000b 00e72f00,"      LDS R27, [R0.X16+0x120c]",0,40,4,Load/Store,32768,32,Shared,Load,32,,,,,,
194,0000000b 00e72f10,"      LDS.128 R8, [R0.X16+0x1210]",0,44,19,Load/Store,32768,32,Shared,Load,128,,,,,,
195,0000000b 00e72f20,"      FADD R44, R17, R29",0,44,3,Floating Point,32768,32,,,,,,,,,
196,0000000b 00e72f30,"      FADD R41, R41, R44",0,43,59,Floating Point,32768,32,,,,,,,,,
